entity_name,category_slug,importance,claim_count,max_trust,severity,networks,sources,arkham_slug,canonical_domain,logo_status,logo_updated_at,manual_lock,logo_hash
Uniswap,dex,100,74,85,10,BSC|ETH,scorechain-counterparties,uniswap,,arkham,2026-04-22,false,626292d559d0ea0b2c154f12f0f062acc0afea0525501b46050ea47a765f5532
Binance.com,exchange,100,112,85,5,BSC|ETH|TRON,scorechain-counterparties,binance-com,binance.com,arkham,2026-04-22,false,6da0631c2b6bf6d3c46b69ee9ddf30c24e876e43492ef178194904788d08495a
Bitget.com,exchange,100,72,85,5,BSC|ETH|TRON,scorechain-counterparties,bitget-com,bitget.com,arkham,2026-04-22,false,267bfa0cb9ba4085803de24a9ec60ee4b3f2f37a7cccb86b72d7348db77f37d0
Bybit.com,exchange,100,86,85,5,BSC|ETH|TRON,scorechain-counterparties,bybit-com,bybit.com,arkham,2026-04-22,false,e6479c149aa1b80a8cf05072c5f28ec28575d3c9f5ba4527e378d8f2d064835f
Cryptomus.com,exchange,100,68,85,5,BSC|ETH|TRON,scorechain-counterparties,cryptomus-com,cryptomus.com,arkham,2026-04-22,false,5ffe6322e61ecb53a742f0936dddc30b1846ca2197f269bcb92b0b8fb983676e
Htx.com - Huobi.com,exchange,100,77,85,5,BSC|ETH|TRON,scorechain-counterparties,htx-com-huobi-com,htx.com,manual,2026-04-23,true,cd467cbcda4559ba7d5550764c779063b50723fda76b4ec4de5740d1611e865c
Kucoin.com,exchange,100,70,85,5,BSC|ETH|TRON,scorechain-counterparties,kucoin-com,kucoin.com,arkham,2026-04-22,false,0e2cfbd4d60bd9bba45c926cc8dd143c4a49a58393e3102aced2c479681ae8b3
Aevo,hack,100,176,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,aevo,,arkham,2026-04-22,false,8dc18cd2f9fedbc09cbbe2ba54437fe3f89d89be09b12d8f0cb9af803f7969b3
AlphaPo - REKT,hack,100,35,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON|TRON,hack-attributions,alphapo-rekt,,arkham,2026-04-22,false,d4ce80f10f8a832684ff81032d95160c10b1aa9e720b871f4c68a6a35a8efbc9
Ankr & Helio - REKT,hack,100,40,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,ankr-helio-rekt,,placeholder,2026-04-23,false,cba2e3427362ca4b324798beb07feb71087ad13f8b2194d1fc4e110f23d84bb8
ArcadiaFi,hack,100,40,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,arcadiafi,,placeholder,2026-04-23,false,cba2e3427362ca4b324798beb07feb71087ad13f8b2194d1fc4e110f23d84bb8
BTCTurk,hack,100,48,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,btcturk,,arkham,2026-04-22,false,a776abe586b491a4c4de662f0a7ffcd9ad471a65d0dc64d21c11126ec43b4582
Balancer - REKT,hack,100,32,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,balancer-rekt,,arkham,2026-04-22,false,428ee397a172f6f9309c1d9c684efccd18508cd695e852896a074017b4c61753
BetterBank,hack,100,32,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,betterbank,,arkham,2026-04-22,false,6461f368592343f675e1dc0b962839127f73ef77451e607704072d6d82c97a9d
BingX,hack,100,104,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,bingx,,arkham,2026-04-22,false,28be759f2b86bae73350effc77bdd6fbdc98649973b1341fc2692fdbb5de111a
BitMart - REKT,hack,100,40,95,95,ARBITRUM|AVALANCHE|BASE|BSC|ETH|FANTOM|OPTIMISM|POLYGON,hack-attributions,bitmart-rekt,,arkham,2026-04-22,false,b838a3dce9a7070c2088cc18111a29c240ba9b6221a73dbea4d05494cb21dd00
